source_id,system_id,system_name,domain,paper_title,publication_date,venue_or_source,authors,affiliation_mix,industry_authors,academic_authors,source_type,grading,what_rl_controlled,state,action,reward,training_data,training_time_period,validation_mode,online_or_offline_learning,simulator_used,field_trial,ab_tested,deployment_scope,baseline_or_counterfactual,metrics_collected,reported_successes,reported_failures_or_regressions,dollar_value_or_business_value,hard_problem_quote,deployment_quote,why_hard_notes,integration_constraints,safety_or_guardrails,evidence_notes,open_questions,prose_status,review_status
deepstock,deepstock,Alibaba or Tmall DeepStock replenishment,Inventory operations,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
muzero-rc-paper,muzero-rc,Google DeepMind or YouTube MuZero-RC paper,Video encoding,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
muzero-rc-post,muzero-rc,Google DeepMind or YouTube MuZero-RC official post,Video encoding,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
alphachip-nature,alphachip,Google AlphaChip Nature paper,Chip floorplanning,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
alphachip-post,alphachip,Google DeepMind AlphaChip official follow-up,Chip floorplanning,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
openai-instructgpt-paper,openai-rlhf,OpenAI InstructGPT RLHF paper,LLM post-training,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
openai-product-posts,openai-rlhf,OpenAI InstructGPT or ChatGPT product posts,LLM post-training,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,blocked_source
bcooler,bcooler,DeepMind or Trane BCOOLER,HVAC control,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
tmall-pricing,tmall-pricing,Alibaba or Tmall dynamic pricing field experiment,Pricing,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
hotel-rm,hotel-rm,China Lodging Group hotel revenue management,Revenue management,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
execution,execution,Adaptive financial order execution,Financial execution,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
rtb-simulator,rtb-simulator,Budget-constrained display-ad RTB simulator,Ads and bidding contrast,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
inventory-benchmark,inventory-benchmark,DRL inventory benchmark,Inventory operations contrast,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
facebook-abr,facebook-abr,Facebook 360 video adaptive bitrate,Video serving,,,,,,,,,pending,,,,,,,,,,,,,,,,,,,,,,,,,not_started,pending_dataset
